,date,location,d_pm10,d_pm25,status
243,2015-08-31,모현동,41.46153846,NA,case_1
244,2015-09-01,모현동,NA,NA,case_1
245,2015-09-02,모현동,NA,NA,case_1
246,2015-09-03,모현동,NA,NA,case_1
247,2015-09-04,모현동,NA,NA,case_1
248,2015-09-05,모현동,NA,NA,case_1
249,2015-09-06,모현동,NA,NA,case_1
250,2015-09-07,모현동,NA,NA,case_1
251,2015-09-08,모현동,NA,NA,case_1
252,2015-09-09,모현동,NA,NA,case_1
253,2015-09-10,모현동,NA,NA,case_1
254,2015-09-11,모현동,NA,NA,case_1
255,2015-09-12,모현동,NA,NA,case_1
256,2015-09-13,모현동,NA,NA,case_1
257,2015-09-14,모현동,NA,NA,case_1
258,2015-09-15,모현동,NA,NA,case_1
259,2015-09-16,모현동,NA,NA,case_1
260,2015-09-17,모현동,NA,NA,case_1
261,2015-09-18,모현동,NA,NA,case_1
262,2015-09-19,모현동,NA,NA,case_1
263,2015-09-20,모현동,NA,NA,case_1
264,2015-09-21,모현동,NA,NA,case_1
265,2015-09-22,모현동,NA,NA,case_1
266,2015-09-23,모현동,NA,NA,case_1
267,2015-09-24,모현동,NA,NA,case_1
268,2015-09-25,모현동,NA,NA,case_1
269,2015-09-26,모현동,NA,NA,case_1
270,2015-09-27,모현동,NA,NA,case_1
271,2015-09-28,모현동,NA,NA,case_1
272,2015-09-29,모현동,NA,NA,case_1
273,2015-09-30,모현동,31.6,NA,case_1
274,2015-10-01,모현동,18.375,NA,case_1
275,2015-10-02,모현동,35.54166667,NA,case_1
276,2015-10-03,모현동,54.41666667,NA,case_1
277,2015-10-04,모현동,38.125,NA,case_1
278,2015-10-05,모현동,43.875,NA,case_1
279,2015-10-06,모현동,56.7826087,NA,case_1
280,2015-10-07,모현동,75.33333333,NA,case_1
281,2015-10-08,모현동,81.625,NA,case_1
282,2015-10-09,모현동,44.95833333,NA,case_1
283,2015-10-10,모현동,52.25,NA,case_1
284,2015-10-11,모현동,24.91666667,NA,case_1
285,2015-10-12,모현동,23.33333333,NA,case_1
286,2015-10-13,모현동,46.25,NA,case_1
287,2015-10-14,모현동,69.04166667,NA,case_1
288,2015-10-15,모현동,85.70833333,NA,case_1
289,2015-10-16,모현동,100.625,NA,case_1
290,2015-10-17,모현동,101.5416667,NA,case_1
291,2015-10-18,모현동,94.91666667,NA,case_1
292,2015-10-19,모현동,115.4166667,NA,case_1
293,2015-10-20,모현동,175.5416667,NA,case_1
