,date,location,d_pm10,d_pm25,area
433,2016-03-08,강남구,124.25,21.375,동남
434,2016-03-09,강남구,51.875,15,동남
435,2016-03-10,강남구,33.625,13.58333333,동남
436,2016-03-11,강남구,33.16666667,16.29166667,동남
437,2016-03-12,강남구,42.04166667,18.70833333,동남
438,2016-03-13,강남구,57.875,33.08333333,동남
439,2016-03-14,강남구,64.54166667,42,동남
440,2016-03-15,강남구,63.25,26.33333333,동남
441,2016-03-16,강남구,68.16666667,30.5,동남
442,2016-03-17,강남구,77.33333333,35.875,동남
443,2016-03-18,강남구,71.25,35.45833333,동남
444,2016-03-19,강남구,78.91666667,39.20833333,동남
445,2016-03-20,강남구,82.875,42.125,동남
446,2016-03-21,강남구,86.25,45.5,동남
447,2016-03-22,강남구,68.58333333,37.75,동남
448,2016-03-23,강남구,83.33333333,49.08333333,동남
449,2016-03-24,강남구,37.29166667,19.625,동남
450,2016-03-25,강남구,71.75,32.95833333,동남
451,2016-03-26,강남구,67.70833333,38.125,동남
452,2016-03-27,강남구,69.25,40.70833333,동남
453,2016-03-28,강남구,68.91666667,35.54166667,동남
454,2016-03-29,강남구,96.79166667,49.41666667,동남
455,2016-03-30,강남구,101.875,49.08333333,동남
456,2016-03-31,강남구,52.66666667,19.95833333,동남
457,2016-04-01,강남구,73.45833333,27.91666667,동남
458,2016-04-02,강남구,80.33333333,35.79166667,동남
459,2016-04-03,강남구,59.41666667,30.26086957,동남
460,2016-04-04,강남구,27.17391304,11.7826087,동남
461,2016-04-05,강남구,57.16666667,20.91666667,동남
462,2016-04-06,강남구,72.16666667,29.36363636,동남
463,2016-04-07,강남구,45.54166667,27.44444444,동남
464,2016-04-08,강남구,85.20833333,39.29166667,동남
465,2016-04-09,강남구,131.4583333,62.79166667,동남
466,2016-04-10,강남구,155.375,74.70833333,동남
467,2016-04-11,강남구,46.95833333,19.375,동남
468,2016-04-12,강남구,57.79166667,26.95833333,동남
469,2016-04-13,강남구,61.5,33.75,동남
470,2016-04-14,강남구,61.04166667,32.41666667,동남
471,2016-04-15,강남구,57.875,27.41666667,동남
472,2016-04-16,강남구,56.375,25.29166667,동남
473,2016-04-17,강남구,50.16666667,17.58333333,동남
474,2016-04-18,강남구,68.25,22.83333333,동남
475,2016-04-19,강남구,49.33333333,22.375,동남
476,2016-04-20,강남구,67,30.79166667,동남
477,2016-04-21,강남구,29.81818182,18.31818182,동남
478,2016-04-22,강남구,81.83333333,46.83333333,동남
